structure,spg_symbol_framework,spg_number_framework,lattice_type_framework,crystal_system_framework,spg_symbol_structure,spg_number_structure,lattice_type_structure,crystal_system_structure
il0008118815_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0012605940_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015288163_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015735364_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0011893159_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0002972789_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014776611_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0013906578_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0001873990_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014882914_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015686519_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0008152381_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0004195971_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015849984_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0011262485_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0008415046_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014793915_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014878433_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0012693410_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0013008242_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014953843_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014467440_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015249709_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0004187326_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0012920811_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0004126635_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014917853_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0012881472_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014894640_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015664251_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014753083_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015824915_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0008136134_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0009266761_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015504815_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015296578_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0013919230_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015664961_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015588282_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0012612080_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0013233063_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014930950_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0013809404_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015105672_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014602128_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015823344_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0004187255_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0013182834_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0012968172_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0008130653_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015836370_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014091943_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0012955535_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0004131919_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0011526815_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0012868154_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014459859_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015316629_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015888903_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0012136072_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015589967_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015907963_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0004254871_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015893316_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014775401_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0012929327_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014751546_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0011330258_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0003625183_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0006899278_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015060624_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0013254903_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0009682516_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015823273_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015736365_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015272639_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0004186702_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0009892066_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0013327008_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015229057_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015843695_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0005061716_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0008459657_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0012960287_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015736585_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014730951_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0011876253_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0011315215_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0012920770_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0012907487_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0013235280_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015666816_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014754864_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015829019_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0004255444_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014862581_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015858243_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0008069503_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0009809186_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014805288_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0008153643_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0009809115_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0012890265_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015830527_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0009771555_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015288165_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014940696_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015850080_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014882913_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014925191_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0009796082_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015148436_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0012518580_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015568005_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0012929288_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0012867693_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0012242511_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0012606023_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015139246_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0013008022_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015590714_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0011299682_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0009795990_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015828088_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0004091714_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015263549_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0002592243_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0002535459_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0013292162_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015829349_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0008511819_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0002916018_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0012145863_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0007484815_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015866824_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0008372011_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0012583383_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014930957_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0011332708_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0011242898_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0012605979_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0004248478_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0009796127_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014909741_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015209510_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0013235307_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0008136237_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0012662821_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014099706_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0008134664_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0013300750_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0011297545_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0012135590_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014808671_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014852397_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0001716377_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015866946_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0011314839_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0001803735_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0013932786_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014869800_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015649434_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0012960081_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0002972793_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015371283_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0004254216_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0013274578_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014361795_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0008415682_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015618551_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0013274685_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014776702_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0012942145_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0004252848_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014842224_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0012048579_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014089396_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015874586_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014878429_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014777426_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015866979_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014884414_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015815842_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0012768017_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0004188696_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0013235371_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0003103844_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015589995_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0012737062_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0008061915_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015115608_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0009771022_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014763600_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0008061986_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014510315_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015371486_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014769325_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0011277622_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015845139_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0004189704_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0012020412_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015287599_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0011893515_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015879271_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014918859_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014918858_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0009793904_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014900445_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0012660608_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0011946141_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0009817924_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015830616_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015878934_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014884421_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0013324907_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0012614189_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014812995_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0013897390_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014812994_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015649344_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0004187292_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015148706_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0013932334_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014756232_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0011280338_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0004093828_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0013292034_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015765388_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015209595_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015876558_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015664970_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0004254223_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0011306075_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0007432246_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0013918749_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0011155531_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014090915_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0011682127_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015665595_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0007506665_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0012048348_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0012697707_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015840720_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0011959032_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0013941575_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0012606043_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014796552_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014917898_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0006798891_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015139250_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015209620_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015113543_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
